year,variable_name,measurement_status,source_variable,short_label,full_question_wording,response_scale,number_categories,original_codes,asked_this_year,valid_n,structural_missing,wording_change,scale_change,coding_change,survey_mode,category_sparsity,cross_wave_comparability,official_codebook_source,codebook_evidence,notes_final,attitude_domain,substantive_direction,respondent_missing_n,comparability_problem,notes
2012,VCF0894,ACCEPTABLE WITH SENSITIVITY,fedspend_welfare,Federal spending - welfare,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,5848,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1566; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396); asked_this_year=Yes; valid_n=5848; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",welfare,1=Increased; 2=Same; 3=Decreased,66,federal-spending battery,"Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2016,VCF0894,ACCEPTABLE WITH SENSITIVITY,V161209,Federal spending - welfare,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,4228,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1814; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396); asked_this_year=Yes; valid_n=4228; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",welfare,1=Increased; 2=Same; 3=Decreased,42,federal-spending battery,"Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2020,VCF0894,ACCEPTABLE WITH SENSITIVITY,V201312,Federal spending - welfare,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,8223,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.2816; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396); asked_this_year=Yes; valid_n=8223; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",welfare,1=Increased; 2=Same; 3=Decreased,57,federal-spending battery,"Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9"
2024,VCF0894,ACCEPTABLE WITH SENSITIVITY,V241273,Federal spending - welfare,,2. Same 3. Decreased (before 2012: or cut out entirely) 8. DK,3,1;2;3,Yes,5223,NO,federal-spending battery,federal-spending battery,federal-spending battery,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.2820; CATEGORIES=1,2,3",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 396); asked_this_year=Yes; valid_n=5223; structural_missing=NO; wording_change=federal-spending battery; scale_change=federal-spending battery; coding_change=federal-spending battery; form/mode note=Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9,","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",welfare,1=Increased; 2=Same; 3=Decreased,298,federal-spending battery,"Codebook source years=1992,1994,1996,2000,2002,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,8,9,"
2004,VCF9223,ACCEPTABLE WITH SENSITIVITY,V045116,Immigration levels take jobs,"from people already here– extremely likely, very likely, somewhat likely, or not at all likely?",2. Very likely 3. Somewhat likely 4. Not at all likely,4,1;2;3;4,Yes,1059,NO,2004 onward,2004 onward,2004 onward,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1483; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590); asked_this_year=Yes; valid_n=1059; structural_missing=NO; wording_change=2004 onward; scale_change=2004 onward; coding_change=2004 onward; form/mode note=Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration/jobs,1=Extremely likely to 4=Not at all likely,153,2004 onward,"Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4"
2008,VCF9223,ACCEPTABLE WITH SENSITIVITY,V085083,Immigration levels take jobs,"from people already here– extremely likely, very likely, somewhat likely, or not at all likely?",2. Very likely 3. Somewhat likely 4. Not at all likely,4,1;2;3;4,Yes,2082,NO,2004 onward,2004 onward,2004 onward,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1590; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590); asked_this_year=Yes; valid_n=2082; structural_missing=NO; wording_change=2004 onward; scale_change=2004 onward; coding_change=2004 onward; form/mode note=Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration/jobs,1=Extremely likely to 4=Not at all likely,240,2004 onward,"Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4"
2012,VCF9223,ACCEPTABLE WITH SENSITIVITY,immigpo_jobs,Immigration levels take jobs,"from people already here– extremely likely, very likely, somewhat likely, or not at all likely?",2. Very likely 3. Somewhat likely 4. Not at all likely,4,1;2;3;4,Yes,5451,NO,2004 onward,2004 onward,2004 onward,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1880; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590); asked_this_year=Yes; valid_n=5451; structural_missing=NO; wording_change=2004 onward; scale_change=2004 onward; coding_change=2004 onward; form/mode note=Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration/jobs,1=Extremely likely to 4=Not at all likely,463,2004 onward,"Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4"
2016,VCF9223,ACCEPTABLE WITH SENSITIVITY,V162158,Immigration levels take jobs,"from people already here– extremely likely, very likely, somewhat likely, or not at all likely?",2. Very likely 3. Somewhat likely 4. Not at all likely,4,1;2;3;4,Yes,3629,NO,2004 onward,2004 onward,2004 onward,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1524; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590); asked_this_year=Yes; valid_n=3629; structural_missing=NO; wording_change=2004 onward; scale_change=2004 onward; coding_change=2004 onward; form/mode note=Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration/jobs,1=Extremely likely to 4=Not at all likely,641,2004 onward,"Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4"
2020,VCF9223,ACCEPTABLE WITH SENSITIVITY,V202233,Immigration levels take jobs,"from people already here– extremely likely, very likely, somewhat likely, or not at all likely?",2. Very likely 3. Somewhat likely 4. Not at all likely,4,1;2;3;4,Yes,7389,NO,2004 onward,2004 onward,2004 onward,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0819; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590); asked_this_year=Yes; valid_n=7389; structural_missing=NO; wording_change=2004 onward; scale_change=2004 onward; coding_change=2004 onward; form/mode note=Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration/jobs,1=Extremely likely to 4=Not at all likely,891,2004 onward,"Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,1,2,3,4"
2024,VCF9223,ACCEPTABLE WITH SENSITIVITY,V242228,Immigration levels take jobs,"from people already here– extremely likely, very likely, somewhat likely, or not at all likely?",2. Very likely 3. Somewhat likely 4. Not at all likely,4,1;2;3;4,Yes,4722,NO,2004 onward,2004 onward,2004 onward,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1487; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 590); asked_this_year=Yes; valid_n=4722; structural_missing=NO; wording_change=2004 onward; scale_change=2004 onward; coding_change=2004 onward; form/mode note=Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,-1,1,2,3,4","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",immigration/jobs,1=Extremely likely to 4=Not at all likely,554,2004 onward,"Codebook source years=2004,2008,2012,2016,2020,2024; observed raw categories=-9,-8,-1,1,2,3,4"
